certificado de garantia de cobertura,data da inadimplencia,autorizacao da indenizacao,valor total da indenizacao,exportador,importador,beneficiario,pais,objeto da exportacao,financiador,modalidade de financiamento,natureza do risco,forma de pagamento do premio,data de aprovacao da operacao,instancia responsavel pela aprovacao,termo de quitacao,titulo de credito,termo de quitacao sei (valor da indenizacao),titulos de credito sei (valor da parcela),verificacao sei (nome),observacao,exportador_norm,importador_norm,beneficiario_norm,ano de inadimplencia,ano do contrato,objeto_categoria
419/2008,,,"usd 28,643.31",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,,,,,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 99,646.28",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
434/2008,,,"usd 54,452.83",thyssenkrupp elevadores s.a.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elevadores para a modernização de hotéis,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,05/12/2008 - 53ª ro,cofig/camex,,,,,,,elevadores sa thyssenkrupp,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Produtos
441/2009,,,"usd 1,051,448.37",tpro engenharia ltda e pharmaster do brasil consultoria ltda,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,"materiais, equipamentos e serviços",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,28/01/2009 - 54ª ro,cofig/camex,,,,,,,brasil consultoria do e engenharia pharmaster tpro,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
511/2009,,,"usd 63,577.80",fabrima máquinas automáticas ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,sistema de fabricação e acondicionamento de comprimidos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,10/11/2009 - 64ª ro,cofig/camex,,,,,,,automaticas fabrima maquinas,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2009.0,Equipamentos
512/2009,,,"usd 4,112,840.93",companhia de obras e infraestrutura.,zdim / almacenes universales s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,obras de ampliação e modernização do porto de mariel,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,,,,,companhia de e infraestrutura obras,almacenes sa universales zdim,banco bndes de desenvolvimento e economico nacional social,,2009.0,Construção Civil
523/2010,,,"usd 70,637.78",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
524/2010,,,"usd 55,397.01",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
536/2010,,,"usd 65,622.14",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
539/2010,,,"usd 46,883.56",cnh latin america ltda.,tractoimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras e tratores, suas peças de reposição e ferramentas",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,04/03/2010 - 67ª ro,cofig/camex,,,,,,,america cnh latin,tractoimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
582/2010,,,"usd 62,038.43",industrial pagé ltda.,citricos caribe s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos agrícolas para secagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,27/10/2010 - 75ª ro,cofig/camex,,,,,,,industrial page,caribe citricos sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
585/2010,,,"usd 7,680.48",comercial surimpex ltda.,farmacuba,banco nacional de desenvolvimento econômico e social - bndes,cuba,materiais e equipamentos para a produção de cremes e pomadas em tubos,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,11/08/2010 - 73ª ro,cofig/camex,,,,,,,comercial surimpex,farmacuba,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
590/2010,,,"usd 13,105.03",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,galões para pinturas em verniz e solvente para madeiras,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/09/2010 - 74ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2010.0,Produtos
689/2012,,,"usd 74,662.47",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,06/09/2012 - 98ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2012.0,Construção Civil
719/2013,,,"usd 264,072.68",cnh latin america ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,colheitadeiras de cana,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,02/07/2013 - 106ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2013.0,Agronegócio
630/2011,2020-12-06,,"usd 1,634,284.21",embraer s.a.,flybe leasing cayman 1 limited,banco nacional de desenvolvimento econômico e social - bndes,reino unido,aeronaves,banco nacional de desenvolvimento econômico e social - bndes,buyers credit (financiamento ao importador),"riscos comerciais, políticos e extraordinários",financiado,26/05/2011 - 82ª ro,cofig/camex,,,,,,,embraer sa,cayman flybe leasing limited,banco bndes de desenvolvimento e economico nacional social,2020.0,2011.0,Aeronaves
758/2014,,,usd 122.71,irrigaplan indústria e comércio de equip. de irrigação ltda.,esencial s.r.l.,banco do brasil s.a. (proex),bolívia,fornecimento de equipamentos para irrigação por gotejamento.,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,14/05/2015,sain/mf,,,,,,,comercio de de e equip industria irrigacao irrigaplan,esencial srl,banco brasil do proex sa,,2014.0,Equipamentos
791/2016,2020-08-06,,"usd 80,695.22",prensa jundiaí,"die technologies, s de r.l. de c.v.",banco do brasil s.a. (proex),méxico,prensas,banco do brasil s.a. (proex),suppliers credit (financiamento ao exportador),"riscos comerciais, políticos e extraordinários",à vista,2/5/2012 - 93ª ro,cofig/camex,,,,,,,jundiai prensa,cv de de die rl s technologies,banco brasil do proex sa,2020.0,2016.0,Equipamentos
419/2008,,,"usd 60,480.71",maubertec empreendimentos e construções ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,elementos para montagem de estruturas e edifições,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,13/10/2008 - 51ª ro,cofig/camex,,,,,,,construcoes e empreendimentos maubertec,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
426/2008,,,"usd 67,175.64",a.l. hecher madeiras ltda.,grupo empresarial comercializadora ith s.a.,banco nacional de desenvolvimento econômico e social - bndes,cuba,módulos de estrutura de madeira,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,26/11/2008 - 52ª ro,cofig/camex,,,,,,,al hecher madeiras,comercializadora empresarial grupo ith sa,banco bndes de desenvolvimento e economico nacional social,,2008.0,Construção Civil
521/2010,,,"usd 19,403.17",f.m. coempar comercial ltda.,azuimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"sistemas hidráulicos virador caminhões: cilindros hidráulicos, filtros retorno hidráulicos hyva, mangueiras hidráulicas - cilindroe e mangueiras mando hidráulico",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,04/03/2010 - 67ª ro,cofig/camex,,,,,,,coempar comercial fm,azuimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
523/2010,,,"usd 70,466.30",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
524/2010,,,"usd 12,168.01",armco staco s.a. - indústria metalúrgica,maquimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,equipamentos para armazenagem de arroz,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os embarques,29/01/2010 - 66ª ro,cofig/camex,,,,,,,armco industria metalurgica sa staco,maquimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
533/2010,,,"usd 39,550.79",himapel máquinas industriais ltda.,quimimpex,banco nacional de desenvolvimento econômico e social - bndes,cuba,bens e serviços de engenharia,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,04/03/2010 - 67ª ro,cofig/camex,,,,,,,himapel industriais maquinas,quimimpex,banco bndes de desenvolvimento e economico nacional social,,2010.0,Equipamentos
536/2010,,,"usd 69,586.31",f.m. coempar comercial ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,exportação de equipamentos agrícolas,banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,12/03/2010 - 68ª ro,cofig/camex,,,,,,,coempar comercial fm,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
537/2010,,,"usd 87,650.16",f.m. coempar comercial ltda.,empresa importadora general del transporte e.i.g.t.,banco nacional de desenvolvimento econômico e social - bndes,cuba,equpamentos destinados ao transporte de grãos refrigerados (projeto arroz),banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,29/01/2010 - 66ª ro,cofig/camex,,,,,,,coempar comercial fm,del eigt empresa general importadora transporte,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
538/2010,,,"usd 605,328.14",cnh latin américa ltda.,transimport,banco nacional de desenvolvimento econômico e social - bndes,cuba,"colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",banco nacional de desenvolvimento econômico e social - bndes,suppliers credit (financiamento ao exportador),riscos políticos e extraordinários,conforme os desembolsos,16/03/2010 - 68ª ro,cofig/camex,,,,,,,america cnh latin,transimport,banco bndes de desenvolvimento e economico nacional social,,2010.0,Agronegócio
