Certificado de Garantia de Cobertura,Data da inadimplência,Autorização da indenização,Valor total da indenização,Exportador,Importador,Beneficíario,País,Objeto da exportação,Financiador,Modalidade de financiamento,Natureza do risco,Forma de pagamento do prêmio,Data de aprovação da operação,Instância responsável pela aprovação,Termo de quitação,Título de crédito,Termo de quitação SEI (valor da indenização),Títulos de crédito SEI (valor da parcela),Verificação SEI (nome),Observação
782/2016,08/05/2018,26/09/2018,"USD 3,014,457.19",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Linited, Panama Brach.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Linited, Panama Brach.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,não,não,2906821,2906821,Eduardo,
783/2016,08/05/2018,26/09/2018,"USD 753,614.27",JBS S.A.,"Corporación Venezolana de Comercio Exterior – CORPOVEX.  
República Bolivariana da Venezuela, por intermédio do Ministerio del Poder Popular para la Economía,","Bank of China Limited, Grand Cayman Branch.",Venezuela,"Exportação de alimentos congelados de proteína (carne bovina, frango e pernil suíno) e lácteos (leite em pó e margarina).","Bank of China Limited, Grand Cayman Branch.",Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,28/01/2016 - 133ª RO,Cofig/Camex,não,não,7607602,7607602,Thayana,
791/2016,19/06/2018,27/09/2018,"USD 83,870.44",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,
0097/2018 op 1664,23/06/2018,01/11/2018,"USD 19,839.20",Móveis Dalla Costa LTDA.,Fard LLC / Versailles Gallery Inc.,Móveis Dalla Costa LTDA.,Estados Unidos,Móveis e material de escritório,Recursos próprios,Pós-embarque com recursos próprios do exportador,"Riscos comerciais, políticos e extraordinários",À vista,29/11/2017,SAIN/MF,,,não ,não ,Ana,12120.101235/2018-78
791/2016,09/08/2018,14/11/2018,"USD 166,407.85",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,2/5/2012 - 93ª RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,
708/2013,15/06/2018,17/12/2018,"USD 6,075,570.28",Companhia de Obras e Infraestrutura., Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Obras de ampliação e modernização do Porto de Mariel e de sua infraestrutura de acesso, na República de Cuba.",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,14/06/2013,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
758/2014,20/05/2018,17/12/2018,"USD 23,432.58",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,não,não,não,não,Thayana ,Verificar arquivos no Ministério
758/2014,02/06/2018,17/12/2018,USD 126.58,Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,não,não,não,não,Thayana ,Verificar arquivos no Ministério
400/2008,15/07/2018,29/01/2019,"USD 494,056.70",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
401/2008,15/07/2018,29/01/2019,"USD 673,798.59",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
402/2008,15/07/2018,29/01/2019,"USD 185,508.18",CNH Latin America Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
404/2008,15/07/2018,29/01/2019,"USD 1,959,912.49",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
417/2008,15/07/2018,29/01/2019,"USD 38,467.98",Hitachi Ar Condicionado do Brasil Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas resfriadoras de líquidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/07/2018,29/01/2019,"USD 171,356.18",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
431/2008,15/07/2018,29/01/2019,"USD 42,916.49",Basim Máquinas S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquina enchedora e fechadora de ampolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
437/2008,15/07/2018,29/01/2019,"USD 63,056.03",Campak Brasil S.A.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas encartuchadoras,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,05/12/2008 - 53ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
477/2009,10/09/2018,29/01/2019,"USD 532,810.06",Construtora Norberto Odebrecht S.A.,C.A. Metro de Caracas,Construtora Norberto Odebrecht S.A.,Venezuela,Bens e serviços brasileiros para as obras de construção da linha V do metrô de Caracas  ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Suppliers’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,3992541,não,Thayana ,
477/2009,10/09/2018,29/01/2019,"USD 18,408,093.31",Construtora Norberto Odebrecht S.A.,C.A. Metro de Caracas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços brasileiros para as obras de construção da linha V do metrô de Caracas  ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Suppliers’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,1802752,não,Thayana ,
478/2009,10/09/2018,29/01/2019,"USD 2,982,024.23",Construtora Norberto Odebrecht S.A.,C.A. Metro Los teques,Construtora Norberto Odebrecht S.A.,Venezuela,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,sim,4031041,não,Ana,
478/2009,10/09/2018,29/01/2019,"USD 51,335,333.64",Construtora Norberto Odebrecht S.A.,C.A. Metro Los teques,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,25/03/2009 - 56ª RO,Cofig/Camex,sim,não,1802762,não,Ana,
511/2009,15/07/2018,29/01/2019,"USD 197,137.99",Fabrima Máquinas Automáticas Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Sistema de fabricação e acondicionamento de comprimidos ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,10/11/2009 - 64ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
518/2009,15/11/2018,29/01/2019,"USD 4,688,561.97",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Bens e prestação serviços destinados à construção do Aeroporto Internacional de Nacala,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos Políticos e Extraordinários,Conforme os desembolsos,29/01/10 - 66ª RO,Cofig/Camex,,,,,,
533/2010,15/07/2018,29/01/2019,"USD 85,854.38",Himapel Máquinas Industriais Ltda.,Quimimpex,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/02/2010 - 67ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/07/2018,29/01/2019,"USD 37,681.28",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
565/2010,10/09/2018,29/01/2019,"USD 2,640,805.95",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Construtora Andrade Gutierrez S.A.,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,não,não,Não,Não,Eduardo,
565/2010,10/09/2018,29/01/2019,"USD 29,026,377.58",Construtora Andrade Gutierrez S.A.,"República Bolivariana da Venezuela, por intermédio do Ministério Del Poder Popular De Planificación Empresa De Producción Social Siderúrgica Nacional, C.A. ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Projeto de construção da Usina Siderúrgica Nacional no Estado do Bolívar,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos Políticos e Extraordinários,Conforme os desembolsos,01/07/10 - 71ª RO,Cofig/Camex,sim,sim,1802770,Não,Eduardo,Verificar com ABGF se eles receberam os TC
585/2010,15/07/2018,29/01/2019,"USD 104,680.20",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
611/2011,15/07/2018,29/01/2019,"USD 47,581.84",Volvo do Brasil Veículos Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Caminhões com implemento compactador de resíduos sólidos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/01/2011 - 78ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
653/2011,15/07/2018,29/01/2019,"USD 6,046,434.76",Companhia de Obras e Infraestrutura.,Zona de Desarrollo Integral Mariel S.A. - ZDIM,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Materiais, equipamentos e serviços destinados à obras",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,22/11/2011 - 88ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
663/2012,15/07/2018,29/01/2019,"USD 152,061.78",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,13/03/2012 - 92ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
683/2012,15/11/2018,29/01/2019,"USD 2,528,069.92",Construtora Norberto Odebrecht S.A.,"AEROPORTOS DE MOÇAMBIQUE, E.P. – ADM      ",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Moçambique,Complementação das obras para ampliação da capacidade do Aeroporto Internacional de Nacala.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Buyer’s Credit (Financiamento ao Importador),Riscos políticos e extraordinários,Conforme os desembolsos,27/06/12 - 95ª RO,Cofig/Camex,,,,,,
695/2012,10/09/2018,29/01/2019,"USD 16,156,657.29",Embraer S.A.,Conviasa - Consorcio Venezolano de Indústrias Aeronáuticas y Servicios Aéreos S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Venezuela,Aeronaves,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,À vista,30/01/2013 - 101ª RO,Cofig/Camex,sim,sim,1802772,Não,Eduardo,O físico deve ter sido recebido. Verificar antes de cobrar ABGF
700/2012,15/07/2018,29/01/2019,"USD 157,942.37",Nogueira Indústria e Comércio de Implementos e Máquinas Agrícolas S.A.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Componentes para máquinas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/10/2012 - 99ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
704/2013,15/07/2018,29/01/2019,"USD 230,222.08",Volvo do Brasil Veículos Ltda.,Construimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Escavadeiras, motoniveladoras e acessórios",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,14/02/2013 - 102ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
758/2014,01/07/2018,29/01/2019,"USD 10,862.74",Irrigaplan Indústria e Comércio de Equip. de Irrigação Ltda.,Esencial S.R.L.,Banco do Brasil S.A. (PROEX),Bolívia,Fornecimento de equipamentos para irrigação por gotejamento.,Banco do Brasil S.A. (PROEX),Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",À vista,14/05/2015,SAIN/MF,não,não,não,não,Thayana ,Verificar arquivos no Ministério
771/2015,15/07/2018,29/01/2019,"USD 119,195.59",CNH Latin America Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,08/07/2015 - 126ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
791/2016,08/11/2018,01/03/2019,"USD 58,246.33",Prensa Jundiaí,"Die Technologies, S de R.L. de C.V.",Banco do Brasil S.A. (PROEX),México,Prensas,Banco do Brasil - Proex,Supplier’s Credit (Financiamento ao Exportador),"Riscos comerciais, políticos e extraordinários",Conforme os desembolsos,02/05/2012 - 93º RO,Cofig/Camex,Verificar arquivos no Ministério,,não ,não,Ana ,Verificar arquivos no Ministério (Ofício sobre TQ - 6800761)
538/2010,15/07/2018,06/03/2019,"USD 43,236.93",CNH Latin América Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,16/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
400/2008,15/08/2018,15/03/2019,"USD 28,981.90",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Colheitadeiras de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
401/2008,15/08/2018,15/03/2019,"USD 20,089.26",CNH Latin America Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Máquinas colheitadeiras ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,02/07/2008 - 48ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
411/2008,15/08/2018,15/03/2019,"USD 33,002.31",F.M. Coempar Comercial Ltda.,Tractoimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
417/2008,15/08/2018,15/03/2019,"USD 99,976.92",Companhia de Obras e Infraestrutura.,Transproy,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Bens e serviços de engenharia ,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,11/05/2008 - 49ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
419/2008,15/08/2018,15/03/2019,"USD 44,126.98",Maubertec Empreendimentos e Construções Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Elementos para montagem de estruturas e edifições,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,13/10/2008 - 51ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
426/2008,15/08/2018,15/03/2019,"USD 72,786.01",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Módulos de estrutura de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,26/11/2008 - 52ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
535/2010,15/08/2018,15/03/2019,"USD 18,110.02",Interunion Comércio Internacional Ltda.,Azuimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Hidrolizador de bagaço de cana,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,31/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
536/2010,15/08/2018,15/03/2019,"USD 21,162.69",F.M. Coempar Comercial Ltda.,Transimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Exportação de equipamentos agrícolas,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/03/2010 - 68ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
585/2010,15/08/2018,15/03/2019,"USD 27,287.88",Comercial Surimpex Ltda.,Farmacuba,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Materiais e equipamentos para a produção de cremes e pomadas em tubos,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,11/08/2010 - 73ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
697/2012,15/08/2018,15/03/2019,"USD 36,916.90",A.L. Hecher Madeiras Ltda.,Grupo Empresarial Comercializadora ITH S.A.,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,Estrutura de passarelas e escadas de madeira,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os embarques,12/12/2012 - 100ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
699/2012,15/08/2018,15/03/2019,"USD 24,279.82",NB Máquinas Ltda.,Maquimport,Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Cuba,"Colheitadeiras, tratores e ferramentas para o plantio e colheita de arroz",Banco Nacional de Desenvolvimento Econômico e Social - BNDES,Supplier’s Credit (Financiamento ao Exportador),Riscos políticos e extraordinários,Conforme os desembolsos,12/12/2012 - 100ª RO,Cofig/Camex,,,não,não,,Aguardando envio do BNDES
